item_id,category,description,manufacturer,manufacturer_part_number,package,quantity,required_or_optional,verified_or_suggested,supply_voltage,india_search_name,substitution_rule,source_url,retrieved_at,notes
P01,memory,256 Kbit SPI serial EEPROM,Microchip,25LC256-I/P,PDIP-8,1,required,verified,2.5-5.5 V; use 3.3 V,25LC256-I/P Microchip DIP8 India,25AA256 is compatible only after speed/voltage needs are checked; 24LC256 is I2C and prohibited.,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/25AA256-25LC256-256K-SPI-Bus-Serial-EEPROM-20001822J.pdf,2026-07-25,VERIFIED; 64-byte pages.
P02,memory,32 Mbit 3 V serial NOR flash,Macronix,MX25L3233FM2I-08G,200 mil SOP-8 on pin-labelled 2.54 mm adapter,1,required,verified,2.65-3.6 V; use 3.3 V,MX25L3233FM2I-08G genuine India SOP8 adapter,"Same-command NOR is SUGGESTED only after JEDEC ID, voltage, page and erase geometry checks.",https://www.macronix.com/Lists/Datasheet/Attachments/8933/MX25L3233F%2C%203V%2C%2032Mb%2C%20v1.7.pdf,2026-07-25,"VERIFIED, production/new-design family; adapter soldering requires inspection."
P03,storage fixture,Existing W25N01JW 1.8 V serial NAND lab fixture,Winbond / Texas Instruments / repository design,W25N01JWZEIQ + TPS7A20-1V8,PCB-only WSON-8 fixture with validated bidirectional level shifting,1,required,verified,1.7-1.95 V NAND; 3.3 V host only through validated shifter,W25N01JWZEIQ TPS7A20 1V8 authorized distributor India,Never connect the bare NAND to 3.3 V; reuse the versioned fixture constraints.,https://www.winbond.com/hq/product/code-storage-flash/qspi-nand/w25n-jw/?__locale=en,2026-07-25,"VERIFIED design reference; hardware remains DESIGN_RULES_PASSED, not bench verified."
P04,passive,100 nF X7R ceramic and 10 uF electrolytic capacitors,documented manufacturer,record purchased series,breadboard-compatible leads,1,required,suggested,10 V minimum; 25 V preferred for 100 nF ceramic,100nF X7R 25V and 10uF 16V through hole India,Capacitance may vary; electrolytic polarity must be marked.,,2026-07-25,SUGGESTED; 100 nF is placed at each IC supply pair.
P05,passive,"220 ohm, 1 kohm, 4.7 kohm, 10 kohm, 100 kohm resistors",documented manufacturer,value-specific 0.25 W metal-film or carbon-film series,axial through-hole,1,required,suggested,power checked per circuit,quarter watt through hole resistor assortment India,Measure value before insertion; 0.125 W is allowed only after power calculation.,,2026-07-25,SUGGESTED; project dissipation is far below 0.25 W when wired as specified.
P06,instrument,Logic analyzer with documented 3.3 V-compatible inputs,Saleae reference; alternatives require verification,Logic 8 reference,USB instrument,1,optional,verified,select 3.3 V threshold; obey input range,logic analyzer documented 3.3V input India,Generic 24 MHz clones are SUGGESTED only; verify input protection and never attach unknown voltages.,https://www.saleae.com/logic,2026-07-25,VERIFIED reference instrument; no capture is claimed.
P07,instrument,USB voltage/current meter or current-limited 5 V bench source,documented manufacturer,record purchased model,inline USB or bench instrument,1,required,suggested,5 V input side only; project rail remains 3.3 V,USB power meter current limit data cable India,Must document voltage/current range and connector wiring.,,2026-07-25,SUGGESTED.
P08,instrument accessory,Insulated micro-hook logic test leads,documented manufacturer,record purchased model,2.54 mm compatible hooks,1,required,suggested,3.3 V signal use,insulated micro hook logic analyzer test clip India,Reject exposed clips that can bridge adjacent IC pins.,,2026-07-25,SUGGESTED.
P09,interconnect,830-point solderless breadboard with documented split rails,varies,model must be recorded by learner,2.54 mm terminal strips,1,required,suggested,3.3 V project use,830 point solderless breadboard split power rail India,Any board is acceptable only after continuity mapping.,,2026-07-25,"SUGGESTED; internal rail topology must be measured, not assumed."
P10,instrument,Optional programmer supporting the exact NOR MPN and 3.3 V,device support list required,not frozen,USB programmer plus SOP-8 fixture,1,optional,suggested,3.3 V only for selected NOR,SPI NOR programmer MX25L3233F supported device list India,Do not buy until the programmer's current device list names MX25L3233F.,,2026-07-25,SUGGESTED optional tool.
