item_id,category,description,manufacturer,manufacturer_part_number,package,quantity,required_or_optional,verified_or_suggested,supply_voltage,india_search_name,substitution_rule,source_url,retrieved_at,notes
P01,controller,Espressif ESP32-DevKitC V4 with ESP32-WROOM-32E,Espressif Systems,ESP32-DEVKITC-32E,"development board, male headers",1,required,verified,USB input; 3.3 V logic and project rail,Espressif ESP32 DevKitC V4 WROOM-32E original India,"A clone is SUGGESTED only after pinout, regulator and module marking are verified.",https://docs.espressif.com/projects/esp-dev-kits/en/latest/esp32/esp32-devkitc/user_guide.html,2026-07-25,VERIFIED by official board guide; physical execution remains unverified.
P02,interconnect,830-point solderless breadboard with documented split rails,varies,model must be recorded by learner,2.54 mm terminal strips,1,required,suggested,3.3 V project use,830 point solderless breadboard split power rail India,Any board is acceptable only after continuity mapping.,,2026-07-25,"SUGGESTED; internal rail topology must be measured, not assumed."
P03,instrument,"Digital multimeter with DC voltage, resistance and continuity",varies,record owned meter,handheld,1,required,suggested,rated probes; used only on SELV circuits here,digital multimeter continuity replaceable fuse India,Must have intact leads and a fused current input if current mode is used.,,2026-07-25,SUGGESTED; never use damaged probes.
P04,interconnect,Male-to-male 2.54 mm jumper wires,varies,n/a,Dupont-compatible,1,required,suggested,3.3 V project use,male male jumper wire 2.54mm India,Verify continuity; do not trust colour.,,2026-07-25,SUGGESTED.
P05,indicator,Diffused red LED,Kingbright or documented equivalent,L-7113ID or verified equivalent,5 mm through-hole,1,required,verified,forward voltage must be measured; do not exceed datasheet current,L-7113ID red LED 5mm India,Colour and forward voltage may change; recalculate the resistor.,https://www.kingbrightusa.com/images/catalog/SPEC/L-7113ID.pdf,2026-07-25,VERIFIED reference part; marketplace loose LEDs are SUGGESTED.
P06,passive,"220 ohm, 1 kohm, 4.7 kohm, 10 kohm, 100 kohm resistors",documented manufacturer,value-specific 0.25 W metal-film or carbon-film series,axial through-hole,1,required,suggested,power checked per circuit,quarter watt through hole resistor assortment India,Measure value before insertion; 0.125 W is allowed only after power calculation.,,2026-07-25,SUGGESTED; project dissipation is far below 0.25 W when wired as specified.
P07,passive,100 nF X7R ceramic and 10 uF electrolytic capacitors,documented manufacturer,record purchased series,breadboard-compatible leads,1,required,suggested,10 V minimum; 25 V preferred for 100 nF ceramic,100nF X7R 25V and 10uF 16V through hole India,Capacitance may vary; electrolytic polarity must be marked.,,2026-07-25,SUGGESTED; 100 nF is placed at each IC supply pair.
P08,switch,Normally-open tactile push button,documented manufacturer,"6x6 mm, four-lead breadboard type",through-hole,1,required,suggested,3.3 V logic,6x6 tactile switch breadboard India,Map internally common pin pairs with continuity mode.,,2026-07-25,SUGGESTED; pin pairing must be measured.
P09,passive,10 kohm linear potentiometer,documented manufacturer,B10K breadboard module or through-hole,three terminal,1,required,suggested,3.3 V divider,B10K linear potentiometer breadboard India,Verify end terminals and wiper using resistance mode.,,2026-07-25,SUGGESTED.
P10,semiconductor,NPN switching transistor for later bounded low-current experiments,onsemi,P2N2222AG,"TO-92, straight leads",1,required,verified,40 V VCEO absolute maximum; v1 circuits use 3.3 V and <=30 mA,P2N2222AG onsemi TO-92 India authorized distributor,PN2222A and metal-can 2N2222A pinouts may differ; verify the exact datasheet before insertion.,https://www.onsemi.com/download/data-sheet/pdf/p2n2222a-d.pdf,2026-07-25,VERIFIED part family; not used as the Project 04 baseline.
P11,semiconductor,"30 V N-channel MOSFET, RDS(on) specified at VGS=2.5 V",Alpha & Omega Semiconductor,AO3400A,SOT-23 on pin-labelled 2.54 mm adapter,1,required,verified,3.3 V gate drive; project load is <=10 mA,AO3400A genuine SOT23 breakout adapter India,"Do not substitute IRF520, IRLZ44N or an untraceable module.",https://www.aosmd.com/res/data_sheets/AO3400A.pdf,2026-07-25,VERIFIED silicon; adapter assembly and pin labels require inspection.
P12,output,3 V internally driven magnetic indicator buzzer,Same Sky,CMI-1295IC-0385T,"12 mm through-hole, polarity marked",1,required,verified,2-5 V operating range; 3 V rated; 30 mA rated supply current,CMI-1295IC-0385T Same Sky India authorized distributor,Do not drive this 30 mA load directly from a GPIO; use a verified transistor stage and observe polarity.,https://www.sameskydevices.com/product/resource/cmi-1295ic-0385t.pdf,2026-07-25,"VERIFIED; optional for later output experiments, not a default Project 04 load."
P13,power and data,USB data cable matching the DevKitC Micro-B receptacle and host connector,documented USB-IF-listed supplier,record the purchased USB-IF certification or exact cable model,"USB host plug to Micro-B plug, data capable",1,required,suggested,5 V USB bus for the selected development board,USB-IF certified USB data cable Micro-B India,"A charge-only cable is unsuitable for firmware upload; reject damaged, unmarked or loose cables.",https://www.usb.org/document-library/usb-20-specification,2026-07-25,SUGGESTED until the purchased cable identity and data operation are verified.
